City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Meulaboh,ID,2020-11-08 22:08:16,4.14,96.13,75.94,88,99,3.83,
69,Cape Town,ZA,2020-11-08 22:07:43,-33.93,18.42,57.99,62,75,4.7,
70,Rio Gallegos,AR,2020-11-08 22:07:23,-51.62,-69.22,62.6,39,40,28.86,
71,Anchorage,US,2020-11-08 22:07:20,61.22,-149.9,32.0,92,90,9.71,
72,Port Alfred,ZA,2020-11-08 22:08:16,-33.59,26.89,64.74,79,93,12.08,
73,Vanimo,PG,2020-11-08 22:08:16,-2.67,141.3,80.71,77,87,4.97,
74,Lavrentiya,RU,2020-11-08 22:08:16,65.58,-171.0,26.76,94,75,6.62,
75,Avarua,CK,2020-11-08 22:08:17,-21.21,-159.78,77.0,73,91,5.82,
76,Bouloupari,NC,2020-11-08 22:08:17,-21.87,166.05,75.2,69,20,14.99,
77,Saint-Philippe,RE,2020-11-08 22:08:17,-21.36,55.77,73.4,73,0,12.75,
78,Show Low,US,2020-11-08 22:08:08,34.25,-110.03,46.4,45,20,28.86,
79,Klaksvik,FO,2020-11-08 22:06:08,62.23,-6.59,46.4,93,100,16.11,
80,Luderitz,NA,2020-11-08 22:08:17,-26.65,15.16,60.98,75,0,21.74,
81,Alvorada,BR,2020-11-08 22:08:18,-12.48,-49.12,85.28,47,78,5.41,
82,Ahipara,NZ,2020-11-08 22:08:18,-35.17,173.17,59.32,78,52,14.09,
83,Isangel,VU,2020-11-08 22:08:18,-19.55,169.27,77.0,94,90,15.48,
84,Salalah,OM,2020-11-08 22:08:18,17.02,54.09,77.0,78,0,3.36,
85,Dicabisagan,PH,2020-11-08 22:08:18,17.08,122.42,77.76,83,100,8.03,
86,Samoded,RU,2020-11-08 22:08:18,63.61,40.51,34.97,88,99,14.29,
87,Boralday,KZ,2020-11-08 22:08:19,43.36,76.86,44.6,62,90,11.18,
88,Mattru,SL,2020-11-08 22:08:19,7.62,-11.83,74.61,96,58,2.26,
89,Hithadhoo,MV,2020-11-08 22:03:46,-0.6,73.08,83.8,72,100,8.32,
90,Burnie,AU,2020-11-08 22:08:19,-41.07,145.92,54.82,76,80,9.33,
91,Aasiaat,GL,2020-11-08 22:08:19,68.71,-52.87,7.02,89,80,5.37,
92,Mayo,US,2020-11-08 22:08:19,38.89,-76.51,66.99,93,1,6.93,
93,Hilo,US,2020-11-08 22:08:20,19.73,-155.09,84.2,62,75,10.29,
94,Charters Towers,AU,2020-11-08 22:08:20,-20.1,146.27,74.86,62,85,17.07,
95,Thompson,CA,2020-11-08 22:08:20,55.74,-97.86,12.2,78,90,14.99,
96,Acapulco,MX,2020-11-08 22:08:20,16.86,-99.89,87.8,66,20,5.82,
97,Mahebourg,MU,2020-11-08 22:08:20,-20.41,57.7,71.6,94,75,3.36,
98,Ambovombe,MG,2020-11-08 22:08:20,-25.17,46.08,71.53,81,0,6.42,
99,Bethel,US,2020-11-08 22:08:20,41.37,-73.41,69.8,37,1,2.26,
100,Santa Maria,BR,2020-11-08 22:05:52,-29.68,-53.81,80.6,54,0,13.87,
101,Santa Cruz De Tenerife,ES,2020-11-08 22:08:21,28.47,-16.25,66.99,87,40,8.05,
102,Port Hawkesbury,CA,2020-11-08 22:08:21,45.62,-61.35,36.0,74,1,3.36,
103,Mahon,ES,2020-11-08 22:08:21,39.89,4.27,57.2,93,94,3.36,
104,Qaanaaq,GL,2020-11-08 22:08:21,77.48,-69.36,-7.17,72,77,11.12,
105,Honiara,SB,2020-11-08 22:08:21,-9.43,159.95,82.4,78,40,3.36,
106,Kapaa,US,2020-11-08 22:05:58,22.08,-159.32,81.0,69,40,11.41,
107,Ancud,CL,2020-11-08 22:08:22,-41.87,-73.82,68.0,49,2,12.75,
108,Porto Novo,BJ,2020-11-08 22:08:22,6.5,2.6,82.4,78,20,8.05,
109,Walvis Bay,NA,2020-11-08 22:08:22,-22.96,14.51,60.8,77,43,6.93,
110,Leningradskiy,RU,2020-11-08 22:08:22,69.38,178.42,18.7,96,100,2.3,
111,Ambulu,ID,2020-11-08 22:08:22,-8.35,113.61,75.96,85,100,3.71,
112,Katherine,AU,2020-11-08 22:08:22,-14.47,132.27,80.6,65,39,2.24,
113,Port Hedland,AU,2020-11-08 22:08:22,-20.32,118.57,68.0,82,0,6.93,
114,Misratah,LY,2020-11-08 22:08:23,32.38,15.09,68.56,63,3,7.56,
115,Diego De Almagro,CL,2020-11-08 22:03:27,-26.37,-70.05,73.98,25,0,8.88,
116,Kismayo,SO,2020-11-08 22:08:23,-0.36,42.55,79.84,80,79,6.15,
117,Carnarvon,AU,2020-11-08 22:06:55,-24.87,113.63,69.8,68,90,11.41,
118,Ilmenau,DE,2020-11-08 22:08:23,50.68,10.9,50.0,81,20,3.36,
119,Lasa,IT,2020-11-08 22:08:23,46.62,10.7,37.4,53,5,4.7,
120,Kishi,NG,2020-11-08 22:08:23,9.08,3.85,75.15,34,58,0.96,
121,Alyangula,AU,2020-11-08 22:08:24,-13.85,136.42,77.0,100,38,11.5,
122,Chokurdakh,RU,2020-11-08 22:08:24,70.63,147.92,-11.88,91,100,2.62,
123,Kavieng,PG,2020-11-08 22:08:24,-2.57,150.8,83.05,69,84,2.77,
124,Jiangkou,CN,2020-11-08 22:08:24,25.49,119.2,66.2,34,0,26.84,
125,College,US,2020-11-08 22:08:24,64.86,-147.8,35.6,74,90,6.93,
126,Vao,NC,2020-11-08 22:08:25,-22.67,167.48,71.22,79,44,19.19,
127,Tasiilaq,GL,2020-11-08 22:08:25,65.61,-37.64,30.13,98,100,29.71,
128,Nishihara,JP,2020-11-08 22:08:25,26.18,127.76,73.4,73,75,6.93,
129,Torbay,CA,2020-11-08 22:03:34,47.67,-52.73,36.0,55,75,8.05,
130,Hami,CN,2020-11-08 22:08:25,42.8,93.45,32.83,79,0,2.17,
131,Kavaratti,IN,2020-11-08 22:08:25,10.57,72.64,83.14,75,0,5.61,
132,Barguzin,RU,2020-11-08 22:08:25,53.62,109.62,33.21,92,100,0.69,
133,Cidreira,BR,2020-11-08 22:08:26,-30.18,-50.21,68.56,80,93,15.39,
134,Havre-Saint-Pierre,CA,2020-11-08 22:08:26,50.23,-63.6,26.6,73,1,4.45,
135,Severo-Kurilsk,RU,2020-11-08 22:08:26,50.68,156.12,35.74,82,100,9.98,
136,Batemans Bay,AU,2020-11-08 22:03:48,-35.72,150.18,64.99,76,16,1.99,
137,Broken Hill,AU,2020-11-08 22:07:02,-31.95,141.43,71.6,30,50,17.22,
138,Atuona,PF,2020-11-08 22:08:26,-9.8,-139.03,77.27,72,40,11.92,
139,Butaritari,KI,2020-11-08 22:08:26,3.07,172.79,81.34,65,71,7.38,
140,Tura,IN,2020-11-08 22:08:27,25.52,90.22,64.69,79,0,4.52,
141,Calabozo,VE,2020-11-08 22:08:27,8.92,-67.43,79.5,89,100,2.51,
142,Punta Alta,AR,2020-11-08 22:04:00,-38.88,-62.07,69.48,59,93,18.61,
143,Rawson,AR,2020-11-08 22:08:27,-43.3,-65.1,72.01,46,100,23.11,
144,Korla,CN,2020-11-08 22:08:27,41.76,86.15,35.28,70,0,1.74,
145,Almaznyy,RU,2020-11-08 22:08:27,48.04,40.05,48.2,93,40,11.18,
146,Jiangyou,CN,2020-11-08 22:08:28,31.77,104.72,59.05,70,73,1.03,
147,San Andres,CO,2020-11-08 22:08:28,12.58,-81.7,82.15,78,95,8.81,
148,Souillac,MU,2020-11-08 22:08:28,-20.52,57.52,71.6,94,75,3.36,
149,Humboldt,US,2020-11-08 22:08:28,40.67,-123.92,53.01,53,20,12.75,
150,Ribeira Grande,PT,2020-11-08 22:08:28,38.52,-28.7,57.2,67,75,5.82,
151,Port Elizabeth,ZA,2020-11-08 22:07:05,-33.92,25.57,57.2,93,100,11.41,
152,Yumen,CN,2020-11-08 22:08:28,40.28,97.2,35.83,54,0,11.52,
153,Mezen,RU,2020-11-08 22:08:29,65.85,44.24,33.76,93,73,9.17,
154,Coquimbo,CL,2020-11-08 22:03:56,-29.95,-71.34,62.6,67,20,14.99,
155,Mandalgovi,MN,2020-11-08 22:08:29,45.76,106.27,24.85,89,0,3.58,
156,Kuala Terengganu,MY,2020-11-08 22:08:29,5.33,103.14,77.0,94,40,3.36,
157,Kardla,EE,2020-11-08 22:08:29,59.0,22.75,41.0,74,14,3.0,
158,Prince Rupert,CA,2020-11-08 22:08:29,54.32,-130.32,41.0,69,90,2.24,
159,Kodiak,US,2020-11-08 22:08:29,57.79,-152.41,48.2,57,75,24.16,
160,Alice Springs,AU,2020-11-08 22:08:30,-23.7,133.88,73.4,20,20,3.36,
161,Barrow,US,2020-11-08 22:08:27,71.29,-156.79,15.8,85,90,19.46,
162,Rumphi,MW,2020-11-08 22:08:30,-11.02,33.86,73.06,55,13,7.43,
163,Boquira,BR,2020-11-08 22:07:45,-12.82,-42.73,74.1,70,14,4.14,
164,Namibe,AO,2020-11-08 22:07:11,-15.2,12.15,69.57,73,1,5.35,
165,Bad Gandersheim,DE,2020-11-08 22:08:30,51.87,10.03,46.99,85,87,3.67,
166,Sorong,ID,2020-11-08 22:05:10,-0.88,131.25,79.07,84,93,4.76,
167,Necochea,AR,2020-11-08 22:04:25,-38.55,-58.74,63.19,71,59,14.12,
168,Correntina,BR,2020-11-08 22:08:31,-13.34,-44.64,75.33,69,36,1.57,
169,Lata,PT,2020-11-08 22:08:31,40.16,-8.33,57.99,91,0,1.01,
170,Stornoway,GB,2020-11-08 22:08:31,58.21,-6.39,52.0,100,97,10.29,
