City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1711,Mogadishu,SO,78.44,overcast clouds,2.04,45.34,Hotel Juba
1712,Ojinaga,MX,78.8,clear sky,29.57,-104.42,Suites Las Palmas
1713,Kalmunai,LK,81.64,moderate rain,7.42,81.82,VS Villa
1716,Cururupu,BR,77.81,few clouds,-1.83,-44.87,Pousada Través'cia
1719,Kathu,TH,78.8,few clouds,7.92,98.33,Novotel Phuket Resort
1722,Mount Gambier,AU,82.4,overcast clouds,-37.83,140.77,Commodore on the Park
1739,Faanui,PF,79.03,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
1742,Barra Do Garcas,BR,77.2,light rain,-15.89,-52.26,Hotel Pousada Tropical
1743,Cabo Rojo,PR,78.01,overcast clouds,18.09,-67.15,Hotel Perichi's
1746,Cockburn Town,TC,81.21,moderate rain,21.46,-71.14,Osprey Beach Hotel
1750,Barinas,VE,75.2,overcast clouds,8.62,-70.21,Hotel Suites Mastranto
1754,Pochutla,MX,79.0,broken clouds,15.74,-96.47,Hotel Posada San Jose
1769,Sibolga,ID,82.0,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
1771,Keffi,NG,75.2,clear sky,8.85,7.87,Imam Family
1776,Nouakchott,MR,77.0,clear sky,18.09,-15.98,Hôtel Iman
1781,Mana,GF,79.0,clear sky,5.66,-53.78,LE SAMANA
1783,Itarema,BR,81.12,clear sky,-2.92,-39.92,Windvillage
1784,Ranot,TH,83.89,overcast clouds,7.78,100.32,Pakbanglake resort ปากบางเลค รีสอร์ท
1785,Morant Bay,JM,80.6,light rain,17.88,-76.41,Whispering Bamboo Cove Resort
1787,Sinnamary,GF,78.91,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
1793,Samarai,PG,79.41,overcast clouds,-10.62,150.67,Nuli Sapi
1801,Maragogi,BR,76.66,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
1806,Victoria Point,AU,75.99,scattered clouds,-27.58,153.3,Bay Retreat Motel
1810,Nioro,GM,76.44,clear sky,13.35,-15.75,
1811,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
1813,Tuy Hoa,VN,76.33,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
1815,Jizan,SA,80.6,clear sky,17.33,42.67,شهدان. ابوالحجر
1816,Tabou,CI,78.42,light rain,4.42,-7.35,hotêl doufoulougou
1822,Mindelo,CV,77.0,scattered clouds,16.89,-24.98,Hotel Gaudi
1828,Ibung,PH,80.82,heavy intensity rain,16.61,121.19,Corpuz Resort
1830,Japura,ID,84.63,heavy intensity rain,-0.32,102.35,Rumah mbah Jamah
1832,Brownsville,US,75.2,clear sky,25.9,-97.5,Hotel Alameda Express
1833,Eyl,SO,78.57,light rain,7.98,49.82,Amiin Hotel
1834,Progreso,MX,77.0,few clouds,21.28,-89.67,Playa Linda Hotel
1838,Basco,PH,79.23,broken clouds,20.45,121.97,Nathaniel's Lodge
1839,Tarakan,ID,81.57,broken clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
1840,Port Blair,IN,83.16,moderate rain,11.67,92.75,Fortune Resort Bay Island
1841,Koungheul,SN,77.76,clear sky,13.98,-14.8,
1842,Iquitos,PE,77.0,scattered clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
1851,Tevaitoa,PF,79.23,moderate rain,-16.78,-151.5,Hôtel Raiatea Lodge
1852,Kilindoni,TZ,79.25,light rain,-7.91,39.67,Bustani B&B
1858,Amambai,BR,78.71,overcast clouds,-23.1,-55.23,Keren Hotel
1859,Dwarka,IN,78.71,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
1860,Lorengau,PG,83.55,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
1863,Bacolod,PH,82.98,scattered clouds,10.67,122.95,Planta Hotel & Residences
1865,Natal,BR,77.0,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
1867,Lazaro Cardenas,MX,78.01,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
1869,Banda Aceh,ID,81.88,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
1873,Angoche,MZ,76.39,scattered clouds,-16.23,39.91,Guest House HESADA
1876,Sawakin,SD,83.62,clear sky,19.11,37.33,فندق الدويم
1879,Itoman,JP,77.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
1885,Oriximina,BR,79.18,broken clouds,-1.77,-55.87,Pousada Tia Amélia
1889,Crib Point,AU,82.0,clear sky,-38.35,145.2,Erawan Bed & Breakfast
1893,Bintulu,MY,80.6,few clouds,3.17,113.03,900 Boutique INN
1894,Nanakuli,US,87.8,few clouds,21.39,-158.15,Camp Pālehua
1896,Ghanzi,BW,76.24,light rain,-21.57,21.78,Ghanzi Farmhouse
1897,Langsa,ID,82.29,light rain,4.47,97.97,OYO 2964 Hotel Ridho
1901,Puerto Escondido,MX,82.4,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
1905,Ko Samui,TH,82.27,light rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
1906,Wanlaweyn,SO,75.29,scattered clouds,2.62,44.89,Haji Qasim Hotel
1907,San Antonio,US,75.2,clear sky,29.42,-98.49,Marriott Plaza San Antonio
1920,Matam,SN,83.7,clear sky,15.62,-13.33,Auberge Beelel Jeeri
1923,Bosaso,SO,76.66,scattered clouds,11.28,49.18,Red Sea Hotel
1924,Vila Velha,BR,77.0,few clouds,-20.33,-40.29,Hotel Vitória Palace
1927,Alice Town,BS,79.2,moderate rain,25.72,-79.3,Bimini Big Game Club Resort & Marina
1934,Cukai,MY,75.2,heavy intensity rain,4.25,103.42,OYO 90038 Dalyla Inn Chalet
1940,Bubaque,GW,83.35,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
1941,Salvador,SV,77.0,scattered clouds,13.83,-88.92,Chico's Ranch
1943,Barahona,DO,76.17,light rain,18.21,-71.1,Hotel Caribe
1947,Luganville,VU,82.4,broken clouds,-15.53,167.17,The Espiritu Hotel
1949,Cilegon,ID,86.0,few clouds,-6.02,106.05,Forbis Hotel
1950,Tual,ID,84.04,overcast clouds,-5.67,132.75,Grand Vilia Hotel
1952,Santo Antonio Do Ica,BR,75.6,broken clouds,-3.1,-67.94,Hotel Fogaça
1953,Sakaraha,MG,75.52,clear sky,-22.9,44.53,Le Relais
1955,Mataram,ID,86.0,broken clouds,-8.58,116.12,Hotel Santika Mataram
1960,Emerald,AU,78.8,broken clouds,-23.53,148.17,The Irish Village
1963,Anito,PH,85.37,broken clouds,12.45,125.29,The Yellow House
1966,Inhambane,MZ,76.42,clear sky,-23.86,35.38,Oceano
1969,Intipuca,SV,75.11,broken clouds,13.2,-88.05,hotel familiar Fco
1975,Olinda,BR,77.0,broken clouds,-8.01,-34.86,Hotel 5 Sóis
1981,Mlonggo,ID,84.2,haze,-6.53,110.7,Asia Metal Art
1984,Kanniyakumari,IN,79.99,scattered clouds,8.08,77.57,Sparsa
1986,Trincomalee,LK,82.15,moderate rain,8.57,81.23,Welcombe Hotel
1997,Kintampo,GH,76.6,broken clouds,8.06,-1.73,Adomaa Memorial Hotel
1998,Lethem,GY,75.67,light rain,3.38,-59.8,Savannah Inn
2002,Majene,ID,84.34,few clouds,-3.54,118.97,Kost Putri RABBANI
2008,Adrar,MR,79.23,clear sky,20.5,-10.07,
2013,Camocim,BR,80.67,scattered clouds,-2.9,-40.84,Hotel Ilha do Amor
2016,Grand-Lahou,CI,78.67,light rain,5.14,-5.02,Hotel Beatitude de Grand Lahou
2021,Kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
2022,Mareeba,AU,87.8,few clouds,-17.0,145.43,Trinity Plains Tourist Park
2028,Sola,VU,81.14,overcast clouds,-13.88,167.55,Ulkel Guest House
2033,Makakilo City,US,87.8,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
2034,Dingle,PH,84.56,clear sky,11.0,122.67,SEGAYA PROPERTY
2036,Samana,DO,76.66,overcast clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
2038,Palu,ID,89.08,broken clouds,-0.89,119.87,Hotel Santika Palu
2043,Manali,IN,77.0,mist,13.17,80.27,Sarathy Lodge
2046,Bouna,CI,75.94,clear sky,9.27,-3.0,Hotel Reserve
2048,Leopold,AU,78.8,broken clouds,-38.18,144.47,Avila Vista
2050,Bandarbeyla,SO,77.07,few clouds,9.49,50.81,REER XOOSHLE GROUP
